annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	1780	0.0120432202759115	1.29184479592398	1.45784330571403e-25
UTR5	71546	0.00285251910856087	571	0.00386330268401432	1.3543476965395	4.08101174130742e-12
downstream	284177	0.0113300579027968	1434	0.00970223476160513	0.856327023643026	1.31512255806441e-09
exonic	254736	0.0101562534263042	1159	0.00784162488751768	0.772098189988864	2.3525267735203e-20
intergenic	11684523	0.465858680176655	55645	0.376485950703987	0.808154847648696	0
intronic	9137749	0.364319509570527	66214	0.447994262555734	1.22967409317125	0
ncRNA_exonic	259951	0.0103641740249561	1475	0.00997963477919635	0.962897260810769	0.145537225322284
ncRNA_intronic	2884355	0.114998431126451	18039	0.122049241886049	1.06131223435427	2.95901370654629e-17
ncRNA_splicing	1313	5.23489445886621e-05	7	4.73609786131352e-05	0.904716971569907	1
splicing	2830	0.00011283131240359	13	8.79561031386797e-05	0.779536294181057	0.459539434880429
upstream	266686	0.0106326966005879	1464	0.00990521038423285	0.93158027133824	0.00600817990566669
