ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000186891	TNFRSF18	1	1138888	1142071	-1	protein_coding	8784	TNFRSF18	8.36589277636991e-07	0.062239985	14	4.359	0.002421	rs78446752	1
ENSG00000186827	TNFRSF4	1	1146706	1149518	-1	protein_coding	7293	TNFRSF4	0.00720932981621916	-0.213831323	47	9.21	0.0003027	rs78446752	1
ENSG00000078808	SDF4	1	1152288	1167411	-1	protein_coding	51150	SDF4	0.0013098271899439	NA	97	9.508	0.0002553	rs78446752	1
ENSG00000176022	B3GALT6	1	1167629	1170421	1	protein_coding	126792	B3GALT6	0.0481044658297901	-0.200664317	82	21.4	0.0002534	rs78446752	1
ENSG00000184163	FAM132A	1	1177826	1182102	-1	protein_coding	388581	FAM132A	4.67625423888147e-05	NA	35	21.4	2.837e-06	rs78446752;rs140918627	1
ENSG00000160087	UBE2J2	1	1189289	1209265	-1	protein_coding	118424	UBE2J2	0.415938846926224	NA	16	6.712	2.837e-06	rs78446752;rs140918627	1
ENSG00000008130	NADK	1	1682671	1711896	-1	protein_coding	65220	NADK	0.00126768961404905	-0.378362489	6	9.012	0.0002581	rs2803329	2
ENSG00000078369	GNB1	1	1716729	1822495	-1	protein_coding	2782	GNB1	0.995187833121982	-0.884419928	32	9.012	9.274e-05	rs2803329	2
ENSG00000169885	CALML6	1	1846266	1848735	1	protein_coding	163688	CALML6	0.000127436926421093	0.34791584	11	12.46	1.339e-05	rs2803329	2
ENSG00000178821	TMEM52	1	1849029	1850712	-1	protein_coding	339456	TMEM52	0.328693114330909	NA	10	12.46	1.339e-05	rs2803329	2
ENSG00000142609	C1orf222	1	1853396	1935276	-1	protein_coding	85452	C1orf222	NA	NA	17	8.534	8.354e-06	rs2803329	2
ENSG00000149527	PLCH2	1	2357419	2436969	1	protein_coding	9651	PLCH2	1.70518647543863e-08	NA	51	13.23	2.308e-12	rs4233033;rs2494639;rs6673880;rs58946679;rs4648637	3
ENSG00000142611	PRDM16	1	2985732	3355185	1	protein_coding	63976	PRDM16	0.999843194473124	1.535659419	19	10.16	9.904e-07	rs58429922;rs6424070	4
ENSG00000169598	DFFB	1	3773845	3801993	1	protein_coding	1677	DFFB	5.08618071063922e-05	0.516775404	2	4.454	0.0005185	rs6672335	5
ENSG00000198912	C1orf174	1	3805689	3816857	-1	protein_coding	339448	C1orf174	0.0187425021060312	0.408273238	11	8.218	0.000217	rs6672335	5
ENSG00000173662	TAS1R1	1	6615241	6639817	1	protein_coding	80835	TAS1R1	7.9136002871651e-09	0.103537243	2	1.722	3.304e-07	rs11122119	8
ENSG00000204859	ZBTB48	1	6640061	6649340	1	protein_coding	3104	ZBTB48	0.680198376469515	0.486680758	3	1.794	3.02e-07	rs11122119	8
ENSG00000162413	KLHL21	1	6650784	6674667	-1	protein_coding	9903	KLHL21	0.00107735176759231	0.105066524	14	12.54	5.754e-08	rs11122119	8
ENSG00000116273	PHF13	1	6673745	6684093	1	protein_coding	148479	PHF13	0.931111283002542	-0.60083022	17	12.54	5.754e-08	rs11122119;rs427123	8
ENSG00000041988	THAP3	1	6684926	6695646	1	protein_coding	90326	THAP3	0.00148422474585026	-0.052881683	25	12.54	5.754e-08	rs11122119;rs427123	8
ENSG00000007923	DNAJC11	1	6694228	6761984	-1	protein_coding	55735	DNAJC11	0.999970790294974	0.744750357	89	19.17	1.556e-08	rs427123;rs11122119	8
ENSG00000171735	CAMTA1	1	6845384	7829766	1	protein_coding	23261	CAMTA1	0.999999955418418	-0.820340672	5	17.58	9.983e-05	rs12565334	9
ENSG00000162426	SLC45A1	1	8377886	8404227	1	protein_coding	50651	SLC45A1	0.0451892558909179	NA	42	15.76	1.237e-08	rs1844583;rs12565834;rs3795310;rs1889854;rs11121172	10
ENSG00000142599	RERE	1	8412457	8877702	-1	protein_coding	473	RERE	0.999995655258253	-0.582722314	195	18.7	6.036e-10	rs12565834;rs1889854;rs3795310;rs11121172;rs67959876	10
ENSG00000120948	TARDBP	1	11072414	11085796	1	protein_coding	23435	TARDBP	0.980707836590808	-0.6803251	10	14.72	1.297e-05	rs7531761	11
ENSG00000116731	PRDM2	1	14026693	14151574	1	protein_coding	7799	PRDM2	0.995040619056877	1.128078855	11	18.99	3.98e-06	rs113463397	12
ENSG00000142619	PADI3	1	17575593	17610728	1	protein_coding	51702	PADI3	4.68791671509589e-10	0.703474197	4	6.272	7.809e-06	rs10888012	13
ENSG00000162545	CAMK2N1	1	20808884	20812713	-1	protein_coding	55450	CAMK2N1	0.138563181790624	NA	8	9.015	0.007212	rs6691916	14
ENSG00000090432	MUL1	1	20825943	20834654	-1	protein_coding	79594	MUL1	3.48969973575906e-06	1.302364252	18	9.606	0.007212	rs6691916	14
ENSG00000183114	FAM43B	1	20878932	20881512	1	protein_coding	163933	FAM43B	NA	-0.734395741	17	13.2	8.323e-05	rs6691916	14
ENSG00000117245	KIF17	1	20990507	21044510	-1	protein_coding	57576	KIF17	3.34364105878855e-13	NA	26	23	8.042e-05	rs34711566	14
ENSG00000189410	SH2D5	1	21046225	21059330	-1	protein_coding	400745	SH2D5	0.00265361571731959	-0.624359791	15	23	2.649e-05	rs34711566	14
ENSG00000127483	HP1BP3	1	21069154	21113816	-1	protein_coding	50809	HP1BP3	0.991643467677446	-0.814136679	39	15.59	1.043e-05	rs34711566	14
